  frus1862/d685 1862-04-08 head/from name='Mr. Seward' | head='Mr. Seward to Mr. Thayer .' | chap=Egypt. egypt d.Instructions,notesToFM | pocom=several | rule=['William Henry Seward'] 
  frus1867p1/d344 1867-05-22 head/to name='Mr. Seward' | head='Mr. de Stoeckl to Mr. Seward' | chap=Russia russia notesFromFM | pocom=several | rule=['William Henry Seward'] 
  frus1868p2/d516 1868-10-01 head/from name='Mr. Seward' | head='Mr. Seward to Mr. Hovey .' | chap=Peru. peru d.Instructions,notesToFM | pocom=several | rule=['William Henry Seward'] 
  frus1868p2/d27 1867-02-14 head/from name='Mr. Seward' | head='Mr. Seward to Mr. Tassara .' | chap=Spain. spain d.Instructions,notesToFM | pocom=several | rule=['William Henry Seward'] 
  frus1864p4/d418 1864-09-24 head/from name='Mr. F. W. Seward' | head='Mr. F. W. Seward to Mr. Fogg .' | chap=Switzerland. switzerland d.Instructions,notesToFM | pocom=several | rule=['William Henry Seward'] 
  frus1865p2/d349 1865-02-03 head/to name='Mr. Seward' | head='Mr. Bigelow to Mr. Seward' | chap=France. france d.Despatches | pocom=several | rule=['William Henry Seward'] 
  frus1866p1/d482 1866-03-19 head/to name='Mr. Seward' | head='Mr. Motley to Mr. Seward .' | chap=Austria. austria d.Despatches | pocom=several | rule=['William Henry Seward'] 
  frus1866p2/d183 1866-03-20 head/to name='Mr. Seward' | head='Mr. Portman to Mr. Seward .' | chap=Japan. japan d.Despatches | pocom=several | rule=['William Henry Seward'] 
## B|1861-1899|several:->one(dept-tier2) count=152
  frus1882/d192 1882-08-18 head/from name='Davis' | head='No. 137. Mr. Davis to Mr. Lowell .' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=['John Davis'] 
  frus1879/d356 1879-08-28 head/to name='Seward' | head='No. 327. Mr. Smyth to Mr. Seward .' | chap=Liberia. liberia d.Despatches | pocom=several | rule=['Frederick William Seward'] 
  frus1877app/d15 1877-10-15 head/to name='Seward' | head='No. 15. Mr. Kreismann to Mr. Seward .' | chap=Germany germany consularDespatches | pocom=several | rule=['Frederick William Seward'] 
  frus1890/d422 1890-07-23 head/from name='Moore' | head='Mr. Moore to Mr. Pratt .' | chap=Persia. iran d.Instructions,notesToFM | pocom=several | rule=['John Bassett Moore'] 
  frus1883/d15 1883-05-19 head/from name='Davis' | head='No. 15. Mr. Davis to Baron Schaeffer .' | chap=Austria-Hungary. austria d.Instructions,notesToFM | pocom=several | rule=['John Davis'] 
  frus1883/d399 1883-05-25 head/from name='Davis' | head='No. 398. Mr. Davis to Mr. Morgan .' | chap=Mexico. mexico d.Instructions,notesToFM | pocom=several | rule=['John Davis'] 
  frus1883/d300 1883-06-25 head/from name='Davis' | head='No. 300. Mr. Davis to Mr. West .' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=['John Davis'] 
  frus1879/d247 1879-07-03 head/from name='Seward' | head='No. 225. Mr. Seward to Sir Edward Thornton .' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=['Frederick William Seward'] 
  frus1879/d355 1879-08-07 head/to name='Seward' | head='No. 326. Mr. Smyth to Mr. Seward .' | chap=Liberia. liberia d.Despatches | pocom=several | rule=['Frederick William Seward'] 
  frus1882/d218 1882-08-14 head/from name='Davis' | head='No. 163. Mr. Davis to Mr. West .' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=['John Davis'] 
## B|1861-1899|several:zero count=10
  frus1864p3/d186 1846-08-09 head/to name='Mr. Seward' | head='Mr. Dayton to Mr. Seward' | chap=France france d.Despatches | pocom=several | rule=[] 
  frus1865p1/d47 1860-01-09 head/from name='Mr. Seward' | head='Mr. Seward to Mr. Adams' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=[] 
  frus1865p3/d331 1860-07-08 head/to name='Mr. Seward' | head='Mr. McMath to Mr. Seward' | chap=  consularDespatches | pocom=several | rule=[] 
  frus1867p1/d36 1857-02-15 head/from name='Mr. Seward' | head='Mr. Seward to Mr. Adams.' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=[] 
  frus1867p2/d242 1867-01-30 head/from name='Mr. Seward to Mr. Campbell' | head='Mr. Seward to Mr. Campbell' | chap=Mexico. mexico d.Instructions,notesToFM | pocom=several | rule=[] 
  frus1867p2/d258 1867-03-18 head/from name='Mr. Seward to Mr. Campbell,' | head='Mr. Seward to Mr. Campbell,' | chap=Mexico. mexico d.Instructions,notesToFM | pocom=several | rule=[] 
  frus1867p2/d297 1867-06-15 head/to name='Mr. Campbell' | head='Mr. Seward to Mr. Campbell' | chap=Mexico. mexico d.Despatches | pocom=several | rule=[] 
  frus1877/d348 1877-04-03 head/to name='Fish' | head='No. 348. Mr. Farman to Mr. Fish .' | chap=Turkish Empire turkey consularDespatches | pocom=several | rule=[] 
  frus1881/d458 1811-06-16 head/from name='Blaine' | head='No. 454. Mr. Blaine to Mr. Morgan .' | chap=Mexico mexico d.Instructions,notesToFM | pocom=several | rule=[] 
  frus1891/d655 1891-04-22 head/to name='Grant' | head='Consul Corte to Mr. Grant .' | chap=Italy italy notesFromForeignConsuls | pocom=several | rule=[] 
## B|1861-1899|several:zero-uncovered-alternative count=331
