band	volume	last_two_path_titles	docs
1900-1905	frus1902app1	Case No. 1: The Cape Horn Pigeon, American whaling bark, arrested and seized in the Sea of Okhotsk by an armed vessel of the Imperial Russian Government, taken to Vladivostok, detained there until the end of the whaling season, and finally released without trial. / The Cape Horn Pigeon, American whaling bark, arrested and seized in the Sea of Okhotsk by an armed vessel of the Imperial Russian Government, taken to Vladivostok, detained there until the end of the whaling season, and finally released without trial.	31
1900-1905	frus1902app1	Case No. 2: The American schooner “James Hamilton Lewis” arrested and seized in the Bering Sea by a cruiser of the Imperial Government of Russia and confiscated by said Imperial Government. / The American Schooner “James Hamilton Lewis” Arrested and Seized in the Bering Sea by a Cruiser of the Imperial Government of Russia and confiscated by said Imperial Government.	21
1900-1905	frus1901China	Negotiations of the powers with China.	20
1900-1905	frus1902app2	PART VI. Record of proceedings before the Permanent Court of Arbitration under The Hague Convention of 1899 in the matter of the Pious Fund of the Californias, from September 15, 1902, to October 14, 1902, including copy of the official minutes, or procès-verbaux, with index. / Record of proceedings before the special tribunal.	19
1900-1905	frus1904	Correspondence.Circulars. / Proclamations and decrees of neutrality issued during the war between Russia and Japan	19
1900-1905	frus1902app1	Surrejoinder of the party defendant to the rejoinder of the party claimant to the counter memorandum of the Russian government presented to the honorable arbitrator, Mr. T. M. C. Asser, Counselor of State of the Netherlands. / Surrejoinder of the party defendant.	13
1900-1905	frus1902app1	Case No. 3: The “C. H. White.” / statement of the case.	12
1900-1905	frus1902app1	The hearing before the honorable arbitrator, Mr. T. M. C. Asser, in the arbitration for the purpose of adjusting the differences between the government of the United States of America, party claimant, and the Imperial Russian Government, party defendant, relative to the arrests and seizures of the American vessels “Cape Horn Pigeon,” “James Hamilton Lewis,” “C. H. White,” and “Kate and Anna”.	11
1900-1905	frus1902app2	PART VI. Record of proceedings before the Permanent Court of Arbitration under The Hague Convention of 1899 in the matter of the Pious Fund of the Californias, from September 15, 1902, to October 14, 1902, including copy of the official minutes, or procès-verbaux, with index. / Protocoles des séances du tribunal d’arbitrage constitué en vertu du traité du 22 Mai 1902 signé à Washington entre les gouvernements des Etats-Unis d’Amérique et des Etats-Unis Mexicains.	11
1900-1905	frus1902app1	Case No. 4: The “Kate and Anna.” / statement of the case.	10
1900-1905	frus1902app2	PART V. Exhibits. / Translation of extracts referred to in the “Brief History of the Pious Fund of the Californias,” and to be found on pages 187 to 221 of the record in the case of Alemany v. Mexico.	9
1900-1905	frus1905	CircularsCorrespondence / Territorial integrity of China	8
1900-1905	frus1902app1	SECOND CASE. / Seizure and confiscation of the schooner James Hamilton Lewis.	7
1900-1905	frus1902app2	Deposition of Mr. John T. Doyle, with exhibits.	7
1900-1905	frus1902app2	PART II. Pleadings.	5
1900-1905	frus1902app2	Affidavit of the Most Rev. Patrick W. Riordan, archbishop of San Francisco, dated September 16, 1902.	4
1900-1905	frus1902app2	Discovery made by United States, on motion by Mexico, relative to Indian population of California.	4
1900-1905	frus1902app2	Extracts and translations from “Noticias de Californias,” etc.	4
1900-1905	frus1902app2	PART V. Exhibits. / Proof of succession of the Most Reverend Patrick William Riordan, archbishop of San Francisco.	3
1900-1905	frus1902app2	Proof of succession of the Rt. Rev. George Montgomery, R. C. Bishop of Monterey.	3
1900-1905	frus1902	Circulars / Passports for persons residing or sojourning abroad.	2
1900-1905	frus1902app1	FIRST CASE. / Seizure of the American whaling bark Cape Horn Pigeon.	2
1900-1905	frus1902app1	Letter from the secretary of state, transmitting a dispatch from Herbert H. D. Peirce, agent of the United States in the matter of the whaling and sealing claims against Russia.	2
1900-1905	frus1902app1	THIRD CASE. / Detention and confiscation of the American schooner C. H. White.	2
1900-1905	frus1902app1	THIRD CASE. / The C. H. White.	2
