rank	docs	cumulative	share	hasNaId	repository	collection	authorityId
41	45	26591	92.5%		Reagan Library	Douglas McMinn Files	txt:reagan library|douglas mcminn file
42	44	26635	92.6%		Kennedy Library	Herter Papers	txt:kennedy library|herter paper
43	44	26679	92.8%		Kennedy Library	Ball Papers	txt:kennedy library|ball paper
44	43	26722	92.9%		Truman Library	Papers of Harry S. Truman	txt:truman library|papers of harry s. truman
45	41	26763	93.0%		Carter Library	Donated Historical Material	txt:carter library|donated historical material
46	40	26803	93.2%		Carter Library	Donated Material	txt:carter library|donated material
47	38	26841	93.3%		Naval Historical	Area Files	txt:naval historical|area file
48	38	26879	93.5%		Nixon	White House Central Files	txt:nixon|white house central file
49	38	26917	93.6%		Center of Military History	Williams Papers	txt:center of military history|williams paper
50	36	26953	93.7%		Eisenhower Library	White House Central Files	txt:eisenhower library|white house central file
51	35	26988	93.8%		Ford Library	NSC Institutional Files	txt:ford library|nsc institutional file
52	35	27023	94.0%		Eisenhower Library	CFEP Records	txt:eisenhower library|cfep record
53	34	27057	94.1%		Truman Library	Truman Papers, President’s Secretary’s File (PSF)	txt:truman library|truman paper
54	33	27090	94.2%		Johnson Library	Ball Papers	txt:johnson library|ball paper
55	32	27122	94.3%		Reagan Library	Linhard Files	txt:reagan library|linhard file
56	31	27153	94.4%		Carter Library	Office of the Chief of Staff	txt:carter library|office of the chief of staff
57	27	27180	94.5%		Ford Library	Laird Papers	txt:ford library|laird paper
58	27	27207	94.6%		Center of Military History	Westmoreland Papers	txt:center of military history|westmoreland paper
59	27	27234	94.7%		Carter Library	Records of the Office of the Staff Secretary, Presidential File	txt:carter library|records of the office of the staff secretary
60	26	27260	94.8%		Reagan Library	Robert McFarlane Files	txt:reagan library|robert mcfarlane file
61	26	27286	94.9%		Ford Library	President’s Handwriting File	txt:ford library|president’s handwriting file
62	25	27311	95.0%		Ford Library	L. William Seidman Papers	txt:ford library|l. william seidman paper
63	25	27336	95.0%		Reagan Library	European and Soviet Affairs Directorate	txt:reagan library|european and soviet affairs directorate
64	25	27361	95.1%		Kennedy Library	Schlesinger Papers	txt:kennedy library|schlesinger paper
65	24	27385	95.2%		Kennedy Library	Presidentʼs Office Files	txt:kennedy library|presidentʼs office file
66	24	27409	95.3%		Reagan Library	Shultz Papers	txt:reagan library|shultz paper
67	23	27432	95.4%		Reagan Library	Sven Kraemer Files	txt:reagan library|sven kraemer file
68	22	27454	95.5%		Reagan Library	Roger Robinson Files	txt:reagan library|roger robinson file
69	22	27476	95.5%		Eisenhower Library	White House Office, Office of the Staff Secretary Records, 1952–1961	txt:eisenhower library|white house office
70	22	27498	95.6%		Eisenhower Library	CFEP Chairman Records	txt:eisenhower library|cfep chairman record
71	22	27520	95.7%		Eisenhower Library	Hagerty Papers	txt:eisenhower library|hagerty paper
72	21	27541	95.8%		Reagan Library	Donald Fortier Files	txt:reagan library|donald fortier file
73	21	27562	95.8%		Reagan Library	Ermarth Files	txt:reagan library|ermarth file
74	21	27583	95.9%		Library of Congress	Harriman Papers	txt:library of congress|harriman paper
75	20	27603	96.0%		Reagan Library	Stephen Danzansky Files	txt:reagan library|stephen danzansky file
76	19	27622	96.0%		Eisenhower Library	James C. Hagerty Papers	txt:eisenhower library|james c. hagerty paper
77	19	27641	96.1%		Reagan Library	Matlock Files	txt:reagan library|matlock file
78	19	27660	96.2%		Reagan Library	System IV Intelligence Files	txt:reagan library|system iv intelligence file
79	19	27679	96.2%		Reagan Library	Carlucci Files	txt:reagan library|carlucci file
80	19	27698	96.3%		Carter Library	National Security Council Institutional Files	txt:carter library|national security council institutional file
81	18	27716	96.4%		Eisenhower Library	Project “Clean Up” Records	txt:eisenhower library|project “clean up” record
82	18	27734	96.4%		Reagan Library	Robert Linhard Files	txt:reagan library|robert linhard file
83	17	27751	96.5%		Nixon	Kissinger Office Files	txt:nixon|kissinger office file
84	17	27768	96.5%		Reagan Library	Ronald Lehman Files	txt:reagan library|ronald lehman file
85	17	27785	96.6%		Ford Library	White House Central Files	txt:ford library|white house central file
86	16	27801	96.7%		Reagan Library	Frank Carlucci Files	txt:reagan library|frank carlucci file
87	16	27817	96.7%		Johnson Library	Fowler Papers	txt:johnson library|fowler paper
88	15	27832	96.8%		Carter Library	Papers of Walter F. Mondale	txt:carter library|papers of walter f. mondale
89	15	27847	96.8%		Ford Library	National Security Adviser Files	txt:ford library|national security adviser file
90	15	27862	96.9%		Johnson Library	Vice Presidential Security File	txt:johnson library|vice presidential security file
91	14	27876	96.9%		Eisenhower Library	McCone Papers	txt:eisenhower library|mccone paper
92	14	27890	97.0%		Ford Library	Arthur Burns Papers	txt:ford library|arthur burns paper
93	14	27904	97.0%		National Defense University	Lemnitzer Papers	txt:national defense university|lemnitzer paper
94	13	27917	97.1%		Reagan Library	William Clark Files	txt:reagan library|william clark file
95	13	27930	97.1%		Johnson Library	Clifford Papers	txt:johnson library|clifford paper
96	13	27943	97.2%		Kennedy Library	Cleveland Papers	txt:kennedy library|cleveland paper
97	12	27955	97.2%		Kennedy Library	Dillon Papers	txt:kennedy library|dillon paper
98	12	27967	97.2%		Ford Library	National Security Advisor	txt:ford library|national security advisor
99	12	27979	97.3%		Reagan Library	African Affairs Directorate	txt:reagan library|african affairs directorate
100	12	27991	97.3%		Kennedy Library	Sorensen Papers	txt:kennedy library|sorensen paper
101	11	28002	97.4%		Bush Library	Bush Vice Presidential Records	txt:bush library|bush vice presidential record
102	11	28013	97.4%		Carter Library	Office of the Staff Secretary	txt:carter library|office of the staff secretary
103	11	28024	97.4%		Reagan Library	Meese Files	txt:reagan library|meese file
104	11	28035	97.5%		Carter Library	NSC Institutional Files	txt:carter library|nsc institutional file
105	11	28046	97.5%		Library of Congress	Kissinger Papers	txt:library of congress|kissinger paper
106	11	28057	97.5%		National Archives	Papers of George P. Shultz	txt:national archives|papers of george p. shultz
107	11	28068	97.6%		Johnson Library	Transcripts of Meetings in the Cabinet Room	txt:johnson library|transcripts of meetings in the cabinet room
108	10	28078	97.6%		Johnson Library	John McCone Memoranda of Meetings with the President	txt:johnson library|john mccone memoranda of meetings with the president
109	10	28088	97.7%		Johnson Library	Mann Papers	txt:johnson library|mann paper
110	10	28098	97.7%		Library of Congress	Henry Kissinger Papers	txt:library of congress|henry kissinger paper
111	10	28108	97.7%		Reagan Library	Charles Hill Papers	txt:reagan library|charles hill paper
112	9	28117	97.8%		National Defense University	National Security Files	txt:national defense university|national security file
113	9	28126	97.8%		Eisenhower Library	Harlow Records	txt:eisenhower library|harlow record
114	9	28135	97.8%		Johnson Library	Confidential File	txt:johnson library|confidential file
115	9	28144	97.9%		Johnson Library	Office of the President File	txt:johnson library|office of the president file
116	9	28153	97.9%		Eisenhower Library	NSC Staff Records	txt:eisenhower library|nsc staff record
117	9	28162	97.9%		Library of Congress	National Security Adviser	txt:library of congress|national security adviser
118	8	28170	97.9%		Carter Library	Presidential Materials	txt:carter library|presidential material
119	8	28178	98.0%		Reagan Library	John Lenczowski Files	txt:reagan library|john lenczowski file
120	8	28186	98.0%		Naval Historical	Radford Papers	txt:naval historical|radford paper
121	8	28194	98.0%		Carter Library	Anthony Solomon Collection	txt:carter library|anthony solomon collection
122	8	28202	98.1%		Reagan Library	Stephen Sestanovich Files	txt:reagan library|stephen sestanovich file
123	8	28210	98.1%		Eisenhower Library	John Foster Dulles papers	txt:eisenhower library|john foster dulles paper
124	8	28218	98.1%		Truman Library	PSF –Subject file	txt:truman library|psf-subject file
125	7	28225	98.1%		Reagan Library	Fred Ikle Files	txt:reagan library|fred ikle file
126	7	28232	98.2%		Johnson Library	Papers of Thomas C. Mann	txt:johnson library|papers of thomas c. mann
127	7	28239	98.2%		University of Montana	Mansfield Papers	txt:university of montana|mansfield paper
128	7	28246	98.2%		Reagan Library	Alton Keel Files	txt:reagan library|alton keel file
129	7	28253	98.2%		Ford Library	Presidential Handwriting File	txt:ford library|presidential handwriting file
130	7	28260	98.3%		Ford Library	Richard B. Cheney Files	txt:ford library|richard b. cheney file
131	7	28267	98.3%		Ford Library	Staff Secretary’s Office	txt:ford library|staff secretary’s office
132	7	28274	98.3%		Kennedy Library	Papers of Arthur Schlesinger, Jr.	txt:kennedy library|papers of arthur schlesinger
133	7	28281	98.3%		Carter Library	Vertical File	txt:carter library|vertical file
134	7	28288	98.4%		Johnson Library	Papers of George Ball	txt:johnson library|papers of george ball
135	6	28294	98.4%		Eisenhower Library	Records of the Special Assistant for National Security Affairs	txt:eisenhower library|records of the special assistant for national security affair
136	6	28300	98.4%		Reagan Library	Tyrus Cobb Files	txt:reagan library|tyrus cobb file
137	6	28306	98.4%		Johnson Library	Office Files of the White House Aides	txt:johnson library|office files of the white house aide
138	6	28312	98.4%		Eisenhower Library	C. D. Jackson Papers	txt:eisenhower library|c. d. jackson paper
139	6	28318	98.5%		Johnson Library	Papers of McGeorge Bundy	txt:johnson library|papers of mcgeorge bundy
140	6	28324	98.5%		Library of Congress	Harold Brown Papers	txt:library of congress|harold brown paper
141	6	28330	98.5%		Reagan Library	Nelson Ledsky Files	txt:reagan library|nelson ledsky file
142	6	28336	98.5%		Eisenhower Library	Norstad Papers	txt:eisenhower library|norstad paper
143	6	28342	98.5%		Johnson Library	President’s Appointment File	txt:johnson library|president’s appointment file
144	6	28348	98.6%			William L. Stearman Files	txt:|william l. stearman file
145	6	28354	98.6%		Department of State	Rosenberg Files	txt:department of state|rosenberg file
146	6	28360	98.6%		Truman Library	PSF –General file	txt:truman library|psf-general file
147	6	28366	98.6%		Carter Library	Staff Offices	txt:carter library|staff office
148	6	28372	98.6%		Johnson Library	Marks Papers	txt:johnson library|marks paper
149	6	28378	98.7%		Truman Library	President’s Secretary’s Files, Box 180	txt:truman library|president’s secretary’s file
150	5	28383	98.7%		Carter Library	Brzezinski Donated Historical Material	txt:carter library|brzezinski donated historical material
151	5	28388	98.7%		Reagan Library	Norman Bailey Files	txt:reagan library|norman bailey file
152	5	28393	98.7%		Ford Library	National Security Decision Memoranda and Study Memoranda	txt:ford library|national security decision memoranda and study memoranda
153	5	28398	98.7%		Eisenhower Library	Cabinet Secretariat Records	txt:eisenhower library|cabinet secretariat record
154	5	28403	98.8%		Carter Library	President’s Files	txt:carter library|president’s file
155	5	28408	98.8%		Eisenhower Library	Staff Secretary’s Records	txt:eisenhower library|staff secretary’s record
156	5	28413	98.8%		University of Arkansas Libraries	Special Collections Division	txt:university of arkansas libraries|special collections division
157	5	28418	98.8%		Eisenhower Library	Project Clean-Up	txt:eisenhower library|project clean-up
158	5	28423	98.8%		Johnson Library	Papers of Francis M. Bator	txt:johnson library|papers of francis m. bator
159	5	28428	98.8%		Kennedy Library	Pre-Presidential Papers	txt:kennedy library|pre-presidential paper
160	5	28433	98.9%		Reagan Library	NSC Intelligence Files	txt:reagan library|nsc intelligence file
161	5	28438	98.9%		Ford Library	James M. Wilson Papers	txt:ford library|james m. wilson paper
